"content","cmp_code","eu_code"
"Noi, cittadine e cittadini democratici e progressisti, ci riconosciamo nella Costituzione repubblicana, in un progetto di società di pace, di libertà, di eguaglianza, di laicità, di giustizia, di progresso e di solidarietà.","305",0
"Vogliamo contribuire al cambiamento dell’Italia, alla ricostruzione delle sue istituzioni, a un forte impegno del nostro Paese per un’Europa federale e democratica.","305",0
"Crediamo nel valore del lavoro, nello spirito solidaristico e nel riconoscimento del merito.","305",0
"Vogliamo sconfiggere ogni forma di populismo.","305",0
"In nome di questi valori ispirati al Bene comune dell’Italia e per raggiungere questi obiettivi abbiamo promosso le elezioni primarie che il 2 dicembre 2012 hanno indicato il segretario del Partito Democratico Pier Luigi Bersani come il candidato dei democratici e dei progressisti alla guida del governo del nostro Paese.","305",0
"Ci candidiamo come alternativa politica e civica al lungo periodo berlusconiano, responsabile di aver lasciato un cumulo di macerie nel Paese e un contesto sociale gravemente deteriorato.","305",0
"I ripetuti scandali hanno sconvolto la coscienza civile del Paese e fatto crescere il distacco dei cittadini dalla politica.","305",0
"Si chiede giustamente un rinnovamento profondo, non di facciata.","305",0
"Non è solo una questione generazionale, ma si rende necessaria una rivoluzione morale e civica che deve penetrare in profondità la politica e i partiti.","304",0
"Questo è il vero rinnovamento che impone la piena attuazione dell’art. 49 della Costituzione che richiama la disciplina giuridica delle formazioni politiche.","304",0
"Oggi siamo noi i protagonisti del cambiamento e ne sentiamo la responsabilità.","305",0
"La politica non è tutta uguale.","305",0
"Vogliamo che i nostri rappresentanti siano scelti per le loro capacità e per la loro onestà.","305",0
"Chiediamo che i candidati al Parlamento rispettino gli impegni contenuti nella Carta d’Intenti e nel Codice etico che seguono.","305",0
"La prossima legislatura dovrà affrontare tre compiti decisivi.","305",0
"Guidare l’economia fuori dalla crisi.","410",0
"Ridare autorità, efficienza e prestigio alle istituzioni e alla politica, ripartendo dai principi della Costituzione.","203",0
"Rilanciare l’unità e l’integrazione politica dell’Unione Europea.","108",0
"Noi non crediamo alle bugie delle promesse facili, quelle vendute nel decennio disastroso della destra.","305",0
"Crediamo, invece, in un risveglio della fiducia, a cominciare dai giovani e dalle donne.","305",0
"I problemi sono enormi e il tempo per aggredirli si accorcia.","305",0
"Le scelte da compiere non sono semplici né scontate.","305",0
"Ma la speranza che ci muove vive tutta nella convinzione che si possano combinare cambiamento e affidabilità, uguaglianza e rigore nelle scelte.","305",0
"Il nostro posto è in Europa.","108",0
"Noi collocheremo sempre più saldamente l’Italia nel cuore di un’Europa da ripensare su basi democratiche.","108",0
"In “casa” dovremo colmare la faglia che si è scavata tra cittadini e politica.","202",0
"Qui non bastano le parole.","202",0
"Serviranno i comportamenti, le azioni, le coerenze.","202",0
"Faremo in modo che buona politica e riscossa civica procedano affiancate.","202",0
"Il traguardo è ricostruire quel patrimonio collettivo che la destra e i populismi stanno disgregando: la qualità della democrazia, la legalità, la cittadinanza, la partecipazione.","202",0
"La realtà è che mai come oggi nessuno si salva da solo.","503",0
